V1,V2
1.95335e-09,1399.67,
3.94225e-09,1607.02,
6.02756e-09,1918.06,
8.08726e-09,2073.58,
2.08521e-08,3006.69,
4.00716e-08,4095.32,
8.08726e-08,5443.14,
2.01820e-07,7257.52,
4.00716e-07,8553.51,
6.12680e-07,9227.42,
8.22041e-07,9797.66,
2.08521e-06,11249.2,
4.14020e-06,11352.8,
5.83388e-06,11352.8,
8.35576e-06,10990.0,
2.01820e-05,10471.6,
3.94225e-05,10005.0,
6.12680e-05,9434.78,
7.82739e-05,9279.26,
0.000208521,8553.51,
0.000387840,8086.96,
0.000612680,7827.76,
