"PointID","x","y","z","Density_0","Density_1","Momentum_x","Momentum_y","Momentum_z","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient"
138, 3.989724764339914e-01, 1.933529280385366e-01, 0.000000000000000e+00, 1.927488993213141e-04, 1.854023765542380e-04, 1.585121054721293e+00, 2.511402445230503e-01, -2.782112230032330e-03, 1.122402883676814e+04, 7.015263313348916e+02, 5.097137352638389e-01, 4.902862647361611e-01, 4.817260600920816e+02, 2.880027648186419e+03, 8.434906003018841e+03, 3.027244776718061e+00, 5.845797979972180e-02
139, 3.674835357799593e-01, 1.883655698910727e-01, 0.000000000000000e+00, 1.973118936467068e-04, 1.899107059751330e-04, 1.617829471843699e+00, 2.563244724084854e-01, -2.939048634329041e-03, 1.148120300162433e+04, 7.173250871439226e+02, 5.095567609932915e-01, 4.904432390067085e-01, 4.985960090013579e+02, 2.910746909297045e+03, 8.429380773741286e+03, 3.001167418288292e+00, 6.059272937746023e-02
140, 3.394979018312223e-01, 1.839330810049055e-01, 0.000000000000000e+00, 2.015964420587940e-04, 1.940893414900902e-04, 1.648320059180231e+00, 2.611623384513840e-01, -3.140744523701408e-03, 1.172076415003889e+04, 7.321865418893276e+02, 5.094861893967645e-01, 4.905138106032354e-01, 5.145719583956171e+02, 2.939621729376422e+03, 8.425046752690105e+03, 2.977509871566971e+00, 6.261435086586987e-02
141, 3.146052256976335e-01, 1.799904685019620e-01, 0.000000000000000e+00, 2.056060742665413e-04, 1.980578108564746e-04, 1.676846553919388e+00, 2.656892410844632e-01, -3.383759721588082e-03, 1.194674712755215e+04, 7.461131466014963e+02, 5.093496887983506e-01, 4.906503112016494e-01, 5.297148547015813e+02, 2.966048619644709e+03, 8.420752865169197e+03, 2.955748834657699e+00, 6.453055652059589e-02
142, 2.924405100365236e-01, 1.764799224834981e-01, 0.000000000000000e+00, 2.093130393649517e-04, 2.019258069491742e-04, 1.703449051643953e+00, 2.699108794565779e-01, -3.657757075745224e-03, 1.216199462223972e+04, 7.589781370684644e+02, 5.089816811835605e-01, 4.910183188164395e-01, 5.439831151344006e+02, 2.989097580421583e+03, 8.415192304982338e+03, 2.935494241085892e+00, 6.633608439135752e-02
143, 2.726787571548399e-01, 1.733499683727677e-01, 0.000000000000000e+00, 2.127213353250846e-04, 2.056444587372985e-04, 1.728075995311801e+00, 2.738078894850411e-01, -3.950726991006739e-03, 1.236496371296545e+04, 7.707807944933355e+02, 5.084577619492606e-01, 4.915422380507394e-01, 5.573209355393519e+02, 3.009160945935451e+03, 8.408778600132791e+03, 2.916784250093646e+00, 6.802387293360762e-02
144, 2.550302036197720e-01, 1.705547121515077e-01, 0.000000000000000e+00, 2.158198974613525e-04, 2.091637816812859e-04, 1.750594091985092e+00, 2.773483144572608e-01, -4.255954441394360e-03, 1.255371999779243e+04, 7.814710989901029e+02, 5.078310251743015e-01, 4.921689748256985e-01, 5.696248610890293e+02, 3.026428809824971e+03, 8.401805092103314e+03, 2.899698185056373e+00, 6.958083081255273e-02
145, 2.392360715037206e-01, 1.680531674232628e-01, 0.000000000000000e+00, 2.185986770882260e-04, 2.124450482026768e-04, 1.770897725289375e+00, 2.805145897540138e-01, -4.572232180409878e-03, 1.272674415085097e+04, 7.910063897002959e+02, 5.071380564482134e-01, 4.928619435517867e-01, 5.808038881686820e+02, 3.041027344613896e+03, 8.394474412407726e+03, 2.884286423411625e+00, 7.099544228921777e-02
146, 2.250647739647891e-01, 1.658086544363873e-01, 0.000000000000000e+00, 2.210687705692665e-04, 2.154743956601503e-04, 1.789038879733453e+00, 2.833392693607500e-01, -4.899791947901864e-03, 1.288387496973907e+04, 7.994236753074850e+02, 5.064075850246802e-01, 4.935924149753198e-01, 5.908574049903937e+02, 3.053199439372169e+03, 8.386953359050676e+03, 2.870491512129117e+00, 7.226762994700814e-02
147, 2.123085195258328e-01, 1.637882622546927e-01, 0.000000000000000e+00, 2.232812748417528e-04, 2.182768035255026e-04, 1.805348763740426e+00, 2.859321036319621e-01, -5.238363170039818e-03, 1.302722676235009e+04, 8.069077163118599e+02, 5.056668324750790e-01, 4.943331675249208e-01, 5.999524142137409e+02, 3.063467796630564e+03, 8.379415570979472e+03, 2.858071978148685e+00, 7.341852656225466e-02
148, 2.007802652611475e-01, 1.619623661896356e-01, 0.000000000000000e+00, 2.253307545611157e-04, 2.209185088786098e-04, 1.820459816957924e+00, 2.884541101121665e-01, -5.593146181662305e-03, 1.316134167060561e+04, 8.138031858247826e+02, 5.049437008013145e-01, 4.950562991986856e-01, 6.084418899108393e+02, 3.072669375182599e+03, 8.372055675339652e+03, 2.846591647953778e+00, 7.449279802312651e-02
149, 1.903109742158616e-01, 1.603041934182315e-01, 0.000000000000000e+00, 2.273183390169462e-04, 2.234764070072464e-04, 1.835063068877483e+00, 2.909859533014774e-01, -5.986488493049911e-03, 1.329125826254851e+04, 8.204795727657120e+02, 5.042612874746034e-01, 4.957387125253967e-01, 6.167193131799401e+02, 3.081660230984299e+03, 8.365044332708931e+03, 2.835587091055754e+00, 7.554023603989245e-02
150, 1.807471368440085e-01, 1.587894304174182e-01, 0.000000000000000e+00, 2.292589922496706e-04, 2.259603936075998e-04, 1.849295509533181e+00, 2.932933333615312e-01, -6.462916391135331e-03, 1.341766116597873e+04, 8.269921294359746e+02, 5.036230867407578e-01, 4.963769132592422e-01, 6.248398818032432e+02, 3.090571380712895e+03, 8.358406533469679e+03, 2.824978630632881e+00, 7.656782542577734e-02
151, 1.719485201225209e-01, 1.573958664587430e-01, 0.000000000000000e+00, 2.309618191411075e-04, 2.282115541284851e-04, 1.861943135426348e+00, 2.946153419042571e-01, -7.073159939783815e-03, 1.353058990644598e+04, 8.326441787412559e+02, 5.029948001917433e-01, 4.970051998082567e-01, 6.320191094701328e+02, 3.097861443545632e+03, 8.351866527134553e+03, 2.815587246524668e+00, 7.747629606269511e-02
152, 1.637861113367645e-01, 1.561030679359905e-01, 0.000000000000000e+00, 2.319753538381723e-04, 2.298529097946549e-04, 1.870063136625164e+00, 2.937291013733678e-01, -7.835265598676731e-03, 1.360650511424502e+04, 8.357863554695291e+02, 5.022978715365122e-01, 4.977021284634878e-01, 6.363807493601895e+02, 3.099865591096030e+03, 8.344780073745642e+03, 2.809381366928393e+00, 7.802822475931528e-02
153, 1.561402263876655e-01, 1.548920787504723e-01, 0.000000000000000e+00, 2.317313328045504e-04, 2.304066711409687e-04, 1.869907807879189e+00, 2.895949761639511e-01, -8.690271486645295e-03, 1.361574631252967e+04, 8.343408924086827e+02, 5.014331884115485e-01, 4.985668115884515e-01, 6.355049455804276e+02, 3.091739716621636e+03, 8.336312941287179e+03, 2.808998089695419e+00, 7.791739918663081e-02
154, 1.488987548828420e-01, 1.537451423607724e-01, 0.000000000000000e+00, 2.300267545800539e-04, 2.297006315505850e-04, 1.860072764430436e+00, 2.828661420316560e-01, -9.478994008359999e-03, 1.354781824583080e+04, 8.275626523533738e+02, 5.003546917578847e-01, 4.996453082421153e-01, 6.283837632577679e+02, 3.070915106287746e+03, 8.326046957360813e+03, 2.815933674796102e+00, 7.701627369786675e-02
155, 1.419555162797883e-01, 1.526454414214113e-01, 0.000000000000000e+00, 2.280328766052369e-04, 2.287297885433859e-04, 1.848067351651029e+00, 2.786015147381390e-01, -9.959657822575480e-03, 1.346446287086372e+04, 8.197253192953539e+02, 4.992371181016708e-01, 5.007628818983292e-01, 6.196965033199086e+02, 3.045847478387169e+03, 8.315398969611851e+03, 2.825611311034974e+00, 7.591697431149742e-02
156, 1.352087029775046e-01, 1.515768511927891e-01, 0.000000000000000e+00, 2.301663446313843e-04, 2.312492253822843e-04, 1.862201805178634e+00, 2.908117628480357e-01, -9.880589252572545e-03, 1.359746873109888e+04, 8.269560045250295e+02, 4.988265667423533e-01, 5.011734332576466e-01, 6.281809522007194e+02, 3.055578411656657e+03, 8.310597605141811e+03, 2.815818587813122e+00, 7.699060967121656e-02
157, 1.285593875278688e-01, 1.505237031066990e-01, 0.000000000000000e+00, 2.450215028610928e-04, 2.459835975999505e-04, 1.960065377647924e+00, 3.468240746910487e-01, -9.183443354530333e-03, 1.444458903402158e+04, 8.800989971719273e+02, 4.990202803005974e-01, 5.009797196994027e-01, 6.901247638470323e+02, 3.154994222973212e+03, 8.310898829996586e+03, 2.750416000115285e+00, 8.482907595624274e-02
158, 1.218061566492055e-01, 1.492976113306139e-01, 0.000000000000000e+00, 2.765792813431076e-04, 2.774683854283746e-04, 2.164871858444638e+00, 4.643169453515864e-01, -7.608987680491799e-03, 1.625042438634007e+04, 9.932178794657215e+02, 4.991976285267584e-01, 5.008023714732416e-01, 8.240519119003868e+02, 3.338994613538644e+03, 8.311185256077442e+03, 2.635675712235518e+00, 1.017764256069228e-01
159, 1.151149800788232e-01, 1.477686952283110e-01, 0.000000000000000e+00, 3.189543318098314e-04, 3.197772692661464e-04, 2.425917914473505e+00, 6.310530083076556e-01, -5.017360075200778e-03, 1.866643595138874e+04, 1.145173440576155e+03, 4.993558033961928e-01, 5.006441966038072e-01, 1.013850727545984e+03, 3.563769982899591e+03, 8.311522216713638e+03, 2.505513231395543e+00, 1.257938629882479e-01
160, 1.084994297085858e-01, 1.459400559410904e-01, 0.000000000000000e+00, 3.657009875173867e-04, 3.664446537550152e-04, 2.693226364959141e+00, 8.270604732958313e-01, -1.497934799080195e-03, 2.131571426575612e+04, 1.312891622649596e+03, 4.994921323055778e-01, 5.005078676944222e-01, 1.238252898434471e+03, 3.797566431472424e+03, 8.312084742309526e+03, 2.380079433320330e+00, 1.541900627707129e-01
161, 1.019729240357190e-01, 1.438154025467809e-01, 0.000000000000000e+00, 4.168981007785220e-04, 4.175552844917279e-04, 2.961919258762960e+00, 1.053184824821328e+00, 3.052560721742913e-03, 2.419934990465052e+04, 1.496801119595351e+03, 4.996062190382313e-01, 5.003937809617688e-01, 1.501020638535691e+03, 4.039346528617496e+03, 8.313130308262771e+03, 2.259379121893631e+00, 1.874411013625322e-01
162, 9.554870094571408e-02, 1.413990445365178e-01, 0.000000000000000e+00, 4.725742106558923e-04, 4.731440634818065e-04, 3.226518078254031e+00, 1.309428565722938e+00, 8.730844039552326e-03, 2.731548721427582e+04, 1.697258645575414e+03, 4.996987195650662e-01, 5.003012804349338e-01, 1.805753509045172e+03, 4.287952751406594e+03, 8.315026352307177e+03, 2.143350504435167e+00, 2.260024728368366e-01
