VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          13,      -4.292129782,      -3.190766348,      -3.256118102,       -3.51475607,      -3.457066925,      -0.734616961,      -2.925380625,      -3.965961434,       2.853818799,       1.012480886,   2.241385939e-05,  -9.699485113e-06,  -0.0001104861875,   8.300477333e-09,   7.879659046e-06,  -8.974460315e-05,   2.241385939e-05,  -0.0001104861875,  -9.699485113e-06,     -0.4327449791
          0,           0,          14,       -4.29220558,      -3.190787288,      -3.256136144,       -3.51475607,      -3.457086304,     -0.7357273064,      -2.856397145,        -3.8967936,        2.85281347,       1.013034699,   2.628706717e-05,  -1.130541073e-05,  -0.0001288508442,    8.02768744e-09,   9.131903352e-06,  -0.0001040712859,   2.628706717e-05,  -0.0001288508442,  -1.130541073e-05,     -0.4300750119
          0,           0,          15,      -4.292289463,      -3.190812286,      -3.256157507,       -3.51475607,      -3.457109728,     -0.7369933096,      -2.788715907,      -3.828994472,        2.85166734,        1.01373376,   3.081751391e-05,  -1.317707934e-05,  -0.0001502522312,   7.763676237e-09,   1.059014904e-05,  -0.0001207525003,   3.081751391e-05,  -0.0001502522312,  -1.317707934e-05,     -0.4275841125
          0,           0,          16,      -4.292380233,       -3.19084217,      -3.256182762,       -3.51475607,      -3.457138177,     -0.7384192023,      -2.722978915,       -3.76318787,       2.850376873,       1.014609218,   3.608996178e-05,  -1.534513544e-05,  -0.0001750395097,   7.534689055e-09,   1.227751114e-05,  -0.0001400513649,   3.608996178e-05,  -0.0001750395097,  -1.534513544e-05,     -0.4251912354
          0,           0,          17,      -4.292475429,      -3.190877981,      -3.256212565,       -3.51475607,      -3.457172958,      -0.739999973,      -2.659883831,      -3.700059236,       2.848947206,       1.015697421,    4.21883694e-05,  -1.783763432e-05,  -0.0002035316838,   7.380943036e-09,   1.421470422e-05,  -0.0001622029602,    4.21883694e-05,  -0.0002035316838,  -1.783763432e-05,     -0.4228092856
          0,           0,          18,      -4.292570749,      -3.190921073,      -3.256247673,       -3.51475607,      -3.457215882,     -0.7417163704,      -2.600238304,      -3.640408907,       2.847396927,       1.017040324,   4.918956852e-05,  -2.067638034e-05,  -0.0002359755256,   7.362232999e-09,   1.641702196e-05,  -0.0001873795596,   4.918956852e-05,  -0.0002359755256,  -2.067638034e-05,     -0.4203407544
          0,           0,          19,      -4.292659282,      -3.190973225,      -3.256288942,       -3.51475607,      -3.457269482,     -0.7435278298,      -2.545021886,      -3.585213704,       2.845764932,       1.018684457,   5.715640832e-05,  -2.387159511e-05,  -0.0002724843351,   7.565493812e-09,   1.888991628e-05,  -0.0002156397688,   5.715640832e-05,  -0.0002724843351,  -2.387159511e-05,     -0.4176538697
          0,           0,          20,      -4.292730616,       -3.19103681,      -3.256337325,       -3.51475607,      -3.457337327,     -0.7453654742,       -2.49545467,      -3.535696283,       2.844117382,       1.020677876,   6.612687671e-05,   -2.74143464e-05,  -0.0003129510326,   8.114277196e-09,   2.162269322e-05,  -0.0002468560507,   6.612687671e-05,  -0.0003129510326,   -2.74143464e-05,     -0.4145719225
          0,           0,          21,      -4.292769926,      -3.191115167,      -3.256393957,      -3.514756071,      -3.457424629,     -0.7471281015,      -2.453059304,      -3.493389748,       2.842551895,        1.02306344,   7.609751023e-05,  -3.126598932e-05,  -0.0003569269602,    9.18187636e-09,   2.457972582e-05,  -0.0002806137099,   7.609751023e-05,  -0.0003569269602,  -3.126598932e-05,     -0.4108674414
          0,           0,          22,      -4.292757097,      -3.191213164,      -3.256460233,      -3.514756071,       -3.45753918,     -0.7486815093,      -2.419679914,      -3.460163701,       2.841198648,       1.025864823,   8.700013776e-05,  -3.534372277e-05,  -0.0004034561628,   1.100759527e-08,   2.768842431e-05,  -0.0003160726708,   8.700013776e-05,  -0.0004034561628,  -3.534372277e-05,     -0.4062490437
          0,           0,          23,      -4.292666144,      -3.191338056,      -3.256537925,      -3.514756072,      -3.457692788,     -0.7498679045,      -2.397289113,      -3.438048173,       2.840211648,       1.029060906,   9.866037883e-05,  -3.950102438e-05,  -0.0004508508769,   1.391967133e-08,   3.082296686e-05,   -0.000351780498,   9.866037883e-05,  -0.0004508508769,  -3.950102438e-05,     -0.4003737352
          0,           0,          24,      -4.292012589,      -3.191477729,      -3.256620249,      -3.514756334,      -3.457925347,     -0.7498855706,      -2.057384332,      -3.088815548,       2.840218657,       1.038893439,   0.0001253057012,  -5.085345073e-05,  -0.0005859797311,  -9.958554537e-08,   3.759768831e-05,  -0.0004334369758,   0.0001253057012,  -0.0005859797311,  -5.085345073e-05,     -0.4058350916
          0,           0,          25,      -4.290649677,      -3.193386474,      -3.258583247,      -3.516415692,      -3.459901854,     -0.7463314672,       -1.59917192,      -2.640004342,       2.843456678,       1.063486649,   0.0002615013945,  -0.0001209489568,   -0.001395379954,  -3.227158985e-07,   9.315782673e-05,   -0.001078722865,   0.0002615013945,   -0.001395379954,  -0.0001209489568,     -0.4625174446
          0,           0,          26,      -4.326308244,      -3.225915751,      -3.289761525,      -3.549818933,      -3.493656326,     -0.7352462398,      -1.415778045,      -2.457163274,        2.85677363,       1.076114648,   0.0004092182951,  -0.0001964699467,   -0.002256159542,   -2.64816027e-07,    0.000154787658,   -0.001780747333,   0.0004092182951,   -0.002256159542,  -0.0001964699467,      -0.480110369
          0,           0,          27,      -4.529297757,      -3.423273665,      -3.454475231,      -3.774232399,       -3.71826261,     -0.7162337237,      -1.324948703,       -2.36612266,       2.878252836,       0.984757254,   0.0005503146592,  -0.0002669427156,   -0.003058714054,  -1.945465038e-07,   0.0002119071577,   -0.002430704231,   0.0005503146592,   -0.003058714054,  -0.0002669427156,      -0.485072878
