"PointID"	"x"	"y"	"Density[0]"	"Density[1]"	"Momentum_x"	"Momentum_y"	"Energy"	"Electronic_Energy"	"Total_Density"	"Pressure"	"Temperature"	"Tve"	"Mach"	"C<sub>p</sub>"
0	0.000000000000000e+00	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	0.000000000000000e+00	-inf	
1	2.000000000000000e-01	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	4.592948243953353e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	1.967614273871960e-17	-inf	
2	4.000000000000000e-01	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	-3.351487976033292e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	1.435773980043204e-17	-inf	
3	6.000000000000001e-01	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	-9.003997547551973e-17	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	3.857303229966750e-18	-inf	
4	8.000000000000000e-01	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	4.874891601502892e-16	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.088398516426445e-17	-inf	
5	1.000000000000000e+00	0.000000000000000e+00	2.278861278377840e-03	6.255843720179642e-03	9.217728802468599e-16	1.241460267920048e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815103e+04	9.063677504615294e+03	9.942035008408000e+03	3.984519125852262e-17	-inf	
6	0.000000000000000e+00	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	0.000000000000000e+00	-inf	
7	2.000000000000000e-01	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	-1.816715666791454e-16	-1.818989403545857e-18	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	7.783181217443491e-18	-inf	
8	4.000000000000000e-01	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	-2.287379174958948e-16	4.893081495538349e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.313923556595500e-17	-inf	
9	5.999999999999999e-01	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	0.000000000000000e+00	5.309175321599457e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.274445212619283e-17	-inf	
10	7.999999999999999e-01	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	4.736193659482523e-16	-1.025455276248987e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.075993665592192e-17	-inf	
11	1.000000000000000e+00	2.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	9.290488378610447e-16	-4.631601768778630e-16	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815103e+04	9.063677504615294e+03	9.942035008408000e+03	4.447204460952637e-17	-inf	
12	0.000000000000000e+00	3.999999999999999e-01	2.278861278377840e-03	6.255843720179642e-03	-5.006768333260000e-16	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.144894371814861e-17	-inf	
13	2.000000000000000e-01	3.999999999999999e-01	2.278861278377840e-03	6.255843720179642e-03	5.964027584397334e-16	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.554983244210378e-17	-inf	
14	3.999999999999999e-01	4.000000000000001e-01	2.278861278377840e-03	6.255843720179642e-03	4.333758331469354e-16	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815103e+04	9.063677504615294e+03	9.942035008408000e+03	1.856577583633061e-17	-inf	
15	6.000000000000001e-01	4.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	-4.970388545189049e-16	-9.094947017729280e-19	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815103e+04	9.063677504615294e+03	9.942035008408000e+03	2.129312873001078e-17	-inf	
16	8.000000000000000e-01	4.000000000000000e-01	2.278861278377840e-03	6.255843720179642e-03	-4.877165338257321e-16	0.000000000000000e+00	2.957834693272139e+05	2.243715095946541e+04	8.534704998557482e-03	3.978844312815100e+04	9.063677504615291e+03	9.942035008408000e+03	2.089372582898657e-17	-inf	
