"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1270, 1.718928253535182e+00, -1.574556777743142e+01, 9.195341498478609e+01, -6.988041326742087e-02, -6.308382201783000e-03, 2.483374243052053e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.970577114534715e-06
1271, 1.724108744322861e+00, -1.574553703864251e+01, 9.199751011085372e+01, -6.991452257711303e-02, -6.300856714645722e-03, 2.484549126861938e-05, 0.000000000000000e+00, 0.000000000000000e+00, -6.502072576934396e-06
1272, 1.729289235289850e+00, -1.574550633115485e+01, 9.204052649499157e+01, -6.994759818513606e-02, -6.292293012859679e-03, 2.485673442277822e-05, 0.000000000000000e+00, 0.000000000000000e+00, -7.527690247587752e-06
1273, 1.734469726431444e+00, -1.574547565488182e+01, 9.219327644440627e+01, -7.006316112086627e-02, -6.286857121086541e-03, 2.489570141620734e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.508867910657817e-06
1274, 1.739650217745324e+00, -1.574544500973434e+01, 9.235127357477715e+01, -7.018322635703025e-02, -6.283197253941208e-03, 2.493675263457988e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.346726625307158e-06
1275, 1.744830709231360e+00, -1.574541439562083e+01, 9.238970363716487e+01, -7.021295121414713e-02, -6.275948571676799e-03, 2.494698965709433e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.790120488236670e-06
1276, 1.750011200891337e+00, -1.574538381244737e+01, 9.245867120750599e+01, -7.026602633256201e-02, -6.270126628210537e-03, 2.496531985808821e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.900812584100157e-06
1277, 1.755191692739442e+00, -1.574535326010818e+01, 9.243841065536729e+01, -7.025158909596972e-02, -6.261815529038198e-03, 2.496057366805816e-05, 0.000000000000000e+00, 0.000000000000000e+00, -6.652120043589856e-06
1278, 1.760372184787339e+00, -1.574532273834619e+01, 9.250917215630466e+01, -7.030555692544875e-02, -6.254479341225219e-03, 2.497885005122745e-05, 0.000000000000000e+00, 0.000000000000000e+00, -6.218033278105376e-06
1279, 1.765552677028994e+00, -1.574529224679676e+01, 9.264171314885854e+01, -7.040620642310276e-02, -6.249863951421612e-03, 2.501300998102316e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.236535691976200e-06
1280, 1.770733169461460e+00, -1.574526178511333e+01, 9.276588458747038e+01, -7.050079433830383e-02, -6.245414681856994e-03, 2.504540654841021e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.294423818709779e-06
1281, 1.775913662080050e+00, -1.574523135297030e+01, 9.284447718633874e+01, -7.056117940499362e-02, -6.240217067661189e-03, 2.506629182657584e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.687699160764258e-06
1282, 1.781094154879097e+00, -1.574520095006236e+01, 9.276329090638812e+01, -7.050054454924215e-02, -6.230169057833896e-03, 2.504572430551517e-05, 0.000000000000000e+00, 0.000000000000000e+00, -6.535013711867649e-06
1283, 1.786274647852667e+00, -1.574517057610378e+01, 9.291532526406566e+01, -7.061578973417966e-02, -6.225460309386666e-03, 2.508473507972153e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.736294050840833e-06
1284, 1.791455140995162e+00, -1.574514023082786e+01, 9.302018534747988e+01, -7.069571931563756e-02, -6.221276410405318e-03, 2.511207362033721e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.373205681829503e-06
1285, 1.796635634301757e+00, -1.574510991398635e+01, 9.309751666182640e+01, -7.075496224394377e-02, -6.216290167823473e-03, 2.513242073989430e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.817954266877608e-06
1286, 1.801816127805286e+00, -1.574507962534876e+01, 9.320084467906534e+01, -7.083362431077425e-02, -6.212051806109473e-03, 2.515930351780096e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.704717105995681e-06
1287, 1.806996621411616e+00, -1.574504936470290e+01, 9.330378037731013e+01, -7.091234409435891e-02, -6.208442570227575e-03, 2.518648606951284e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.321841814479059e-06
1288, 1.812177115180881e+00, -1.574501913185286e+01, 9.334430393828720e+01, -7.094394525263667e-02, -6.202748565217372e-03, 2.519757719492040e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.565410860909982e-06
1289, 1.817357609110834e+00, -1.574498892661987e+01, 9.339965641175225e+01, -7.098671147859875e-02, -6.197607855876767e-03, 2.521244191806394e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.855513127163291e-06
1290, 1.822538103199849e+00, -1.574495874884173e+01, 9.334779403711339e+01, -7.094821629225902e-02, -6.188995236572310e-03, 2.519930007199982e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.727820996626218e-06
1291, 1.827718597446845e+00, -1.574492859837249e+01, 9.347568186583933e+01, -7.104543846273441e-02, -6.185204984949716e-03, 2.523246302652845e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.853034225402670e-06
1292, 1.832899091851143e+00, -1.574489847508225e+01, 9.360529802571313e+01, -7.114399289244813e-02, -6.182010594667041e-03, 2.526624972804428e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.330040954212153e-06
1293, 1.838079586412308e+00, -1.574486837885702e+01, 9.376137541734182e+01, -7.126299570377720e-02, -6.179604027452028e-03, 2.530741794784221e-05, 0.000000000000000e+00, 0.000000000000000e+00, -3.176727865701191e-06
1294, 1.843260081129992e+00, -1.574483830959858e+01, 9.368442657777268e+01, -7.120586371883555e-02, -6.171153969604506e-03, 2.528820731649248e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.292566472989008e-06
1295, 1.848440576003824e+00, -1.574480826722437e+01, 9.366233870803119e+01, -7.118999000493452e-02, -6.162873705151939e-03, 2.528296183047188e-05, 0.000000000000000e+00, 0.000000000000000e+00, -6.107665751703011e-06
1296, 1.853621071033361e+00, -1.574477825166747e+01, 9.382636766320388e+01, -7.131436761515819e-02, -6.159222043699406e-03, 2.532533541679039e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.978092544636951e-06
1297, 1.858801566218097e+00, -1.574474826287660e+01, 9.386375813846024e+01, -7.134340961209312e-02, -6.152940342269356e-03, 2.533542560137694e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.169758410120658e-06
1298, 1.863982061557557e+00, -1.574471830081611e+01, 9.399981024086672e+01, -7.144690506847148e-02, -6.149097380476887e-03, 2.537090332910217e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.549290341202900e-06
1299, 1.869162557051387e+00, -1.574468836546610e+01, 9.401609166882885e+01, -7.145998228778022e-02, -6.142356019844333e-03, 2.537551244049416e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.682084134933092e-06
1300, 1.874343047132523e+00, -1.574465845685465e+01, 9.409601097841914e+01, -7.152113386817735e-02, -6.137409585787379e-03, 2.539652797342792e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.927880751410692e-06
1301, 1.879523547171575e+00, -1.574462857490499e+01, 9.415303748939679e+01, -7.156499543710919e-02, -6.131687440364697e-03, 2.541166318637741e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.939819926318027e-06
1302, 1.884704044457989e+00, -1.574459871971869e+01, 9.431685690178351e+01, -7.168931599265799e-02, -6.128664667323139e-03, 2.545412172471976e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.462016317808825e-06
1303, 1.889884540567168e+00, -1.574456889133124e+01, 9.432801600750444e+01, -7.169858556113562e-02, -6.121756419883134e-03, 2.545752507661533e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.101782825651183e-06
1304, 1.895065036825651e+00, -1.574453908979644e+01, 9.442992895286400e+01, -7.177639593834442e-02, -6.117589892299145e-03, 2.548426115320830e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.638133442772523e-06
1305, 1.900245533224890e+00, -1.574450931519284e+01, 9.445450793976558e+01, -7.179590212525193e-02, -6.111388752048358e-03, 2.549120689602777e-05, 0.000000000000000e+00, 0.000000000000000e+00, -5.599264135831521e-06
1306, 1.905426029747417e+00, -1.574447956761660e+01, 9.456424498139269e+01, -7.187944748058803e-02, -6.106587380313159e-03, 2.551981706905999e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.366163739125427e-06
1307, 1.910606526360920e+00, -1.574444984718196e+01, 9.467312639346908e+01, -7.196255261248481e-02, -6.102548721901253e-03, 2.554846649275775e-05, 0.000000000000000e+00, 0.000000000000000e+00, -4.854553354121195e-06
