VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -5.046502753,      -1.639188606,      -2.714327248,        1.50024775,    0.003335247417,     0.01855914332,                 0,                 0,                 0,     0.08547741815,    0.003335247417,     0.01855914332,                 0,       5.564547692,                 0
          0,           0,           1,      -5.171787494,       -1.76758033,      -2.728024858,       1.373756797,    0.006287514761,     0.03595539169,                 0,                 0,                 0,      0.1590777276,    0.006287514761,     0.03595539169,                 0,       5.718537937,                 0
          0,           0,           2,      -5.267679811,      -1.866696494,      -2.673154751,       1.277074216,    0.008803796475,     0.05144412051,                 0,                 0,                 0,      0.2209140046,    0.008803796475,     0.05144412051,                 0,       5.843401839,                 0
          0,           0,           3,      -5.338044109,      -1.939120084,      -2.639882226,       1.206316647,      0.0108606238,     0.06444134414,                 0,                 0,                 0,       0.271173051,      0.0108606238,     0.06444134414,                 0,       5.933484608,                 0
          0,           0,           4,      -5.385954617,      -1.987629074,      -2.645434433,       1.158346953,     0.01249148948,     0.07484485155,                 0,                 0,                 0,      0.3109943711,     0.01249148948,     0.07484485155,                 0,       5.991667499,                 0
          0,           0,           5,      -5.418652145,      -2.020342516,      -2.674135415,       1.125690124,     0.01375117201,     0.08290098163,                 0,                 0,                 0,      0.3419104782,     0.01375117201,     0.08290098163,                 0,       6.028648435,                 0
          0,           0,           6,      -5.442594533,      -2.044285185,      -2.707861959,       1.101811579,     0.01472201049,     0.08909079604,                 0,                 0,                 0,      0.3659313307,     0.01472201049,     0.08909079604,                 0,       6.051537329,                 0
          0,           0,           7,      -5.462234814,      -2.063957506,      -2.738309903,       1.082253826,     0.01548525392,     0.09391543042,                 0,                 0,                 0,      0.3849648084,     0.01548525392,     0.09391543042,                 0,       6.064829863,                 0
          0,           0,           8,      -5.479460408,       -2.08117733,      -2.764624924,       1.065132963,     0.01610480983,     0.09777615806,                 0,                 0,                 0,      0.4004951427,     0.01610480983,     0.09777615806,                 0,       6.071239531,                 0
          0,           0,           9,      -5.494744684,      -2.096407181,      -2.787611667,       1.049971259,     0.01662534726,      0.1009557314,                 0,                 0,                 0,      0.4135599014,     0.01662534726,      0.1009557314,                 0,       6.072398356,                 0
          0,           0,          10,      -5.508174597,      -2.109761289,      -2.807738244,       1.036672753,     0.01707674586,      0.1036439543,                 0,                 0,                 0,      0.4248574826,     0.01707674586,      0.1036439543,                 0,       6.069303553,                 0
          0,           0,          11,      -5.519890779,      -2.121400501,      -2.825320286,       1.025089291,     0.01747895644,      0.1059674255,                 0,                 0,                 0,      0.4348586021,     0.01747895644,      0.1059674255,                 0,       6.062571631,                 0
          0,           0,          12,      -5.530029972,      -2.131474647,      -2.840587137,       1.015081504,     0.01784544701,        0.10801119,                 0,                 0,                 0,      0.4438842345,     0.01784544701,        0.10801119,                 0,       6.052590892,                 0
          0,           0,          13,      -5.538765171,      -2.140160431,      -2.853814381,       1.006475353,     0.01818556115,      0.1098336222,                 0,                 0,                 0,      0.4521590557,     0.01818556115,      0.1098336222,                 0,       6.039605886,                 0
          0,           0,          14,      -5.546246106,      -2.147607038,      -2.865268044,      0.9991218038,     0.01850601735,      0.1114758994,                 0,                 0,                 0,      0.4598456733,     0.01850601735,      0.1114758994,                 0,       6.023764987,                 0
          0,           0,          15,      -5.552614651,      -2.153953217,      -2.875211455,      0.9928795603,     0.01881186131,      0.1129682431,                 0,                 0,                 0,      0.4670666203,     0.01881186131,      0.1129682431,                 0,       6.005160319,                 0
          0,           0,          16,      -5.557990883,      -2.159315221,      -2.883867921,      0.9876291787,      0.0191069753,      0.1143332875,                 0,                 0,                 0,      0.4739163477,      0.0191069753,      0.1143332875,                 0,         5.9838507,                 0
          0,           0,          17,      -5.562485402,       -2.16379948,      -2.891430757,      0.9832604463,     0.01939443293,      0.1155884062,                 0,                 0,                 0,       0.480469513,     0.01939443293,      0.1155884062,                 0,       5.959875527,                 0
          0,           0,          18,      -5.566191582,       -2.16749462,      -2.898057495,      0.9796804539,     0.01967671945,      0.1167472207,                 0,                 0,                 0,      0.4867863259,     0.01967671945,      0.1167472207,                 0,        5.93326652,                 0
          0,           0,          19,      -5.569186981,      -2.170473618,       -2.90387191,       0.976812103,      0.0199558917,       0.117820698,                 0,                 0,                 0,      0.4929164982,      0.0199558917,       0.117820698,                 0,       5.904055793,                 0
          0,           0,          20,      -5.571535359,      -2.172795462,      -2.908970712,      0.9745921288,     0.02023365447,      0.1188176451,                 0,                 0,                 0,      0.4989010353,     0.02023365447,      0.1188176451,                 0,       5.872278055,                 0
          0,           0,          21,      -5.573297749,      -2.174515746,      -2.913438487,      0.9729598461,     0.02051146704,      0.1197454487,                 0,                 0,                 0,       0.504774816,     0.02051146704,      0.1197454487,                 0,       5.837975821,                 0
