"PointID","x","y","Density_N2","Density_N","Momentum_x","Momentum_y","Energy","Energy_ve","Pressure","Temperature","Temperature_ve","Mach"
0, 0.000000000000000e+00, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
1, 2.000000000000000e-01, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
2, 4.000000000000000e-01, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
3, 6.000000000000001e-01, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
4, 8.000000000000000e-01, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
5, 1.000000000000000e+00, 0.000000000000000e+00, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, -1.818989403545856e-19, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 4.949720481842793e-22
6, 0.000000000000000e+00, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
7, 2.000000000000000e-01, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 9.094947017729284e-20, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 2.474860240921398e-22
8, 4.000000000000000e-01, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
9, 5.999999999999999e-01, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
10, 7.999999999999999e-01, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
11, 1.000000000000000e+00, 2.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
12, 0.000000000000000e+00, 3.999999999999999e-01, 5.923796124178380e-01, 2.961893619244318e-01, 1.818989403545856e-19, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 4.949720481842794e-22
13, 2.000000000000000e-01, 3.999999999999999e-01, 5.923796124178380e-01, 2.961893619244318e-01, -4.966721478538842e-20, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 1.351513262364779e-22
14, 3.999999999999999e-01, 4.000000000000001e-01, 5.923796124178380e-01, 2.961893619244318e-01, 4.128225539190436e-20, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 1.123346978556617e-22
15, 6.000000000000001e-01, 4.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
16, 8.000000000000000e-01, 4.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
17, 1.000000000000000e+00, 4.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
18, 0.000000000000000e+00, 6.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
19, 2.000000000000000e-01, 6.000000000000000e-01, 5.923796124178380e-01, 2.961893619244318e-01, -8.384959393484001e-21, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 2.281662838081596e-23
20, 4.000000000000001e-01, 6.000000000000002e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
21, 6.000000000000000e-01, 6.000000000000001e-01, 5.923796124178380e-01, 2.961893619244318e-01, 8.384959393483999e-21, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 2.281662838081596e-23
22, 8.000000000000000e-01, 6.000000000000001e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
23, 1.000000000000000e+00, 6.000000000000001e-01, 5.923796124178380e-01, 2.961893619244318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.015461715932791e+07, 4.560670114073861e+00, 1.013250000000009e+05, 2.881500000000026e+02, 2.881504327058792e+02, 0.000000000000000e+00
