VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_N2]"  ,   "rms[Rho_N]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
         78,           0,           0,               -32,               -32,       4.005716604,       4.005716604,               -32,               -32
         79,           0,           0,               -32,               -32,       4.005716603,       4.005716603,               -32,               -32
         80,           0,           0,               -32,               -32,       4.005716603,       4.005716603,               -32,               -32
         81,           0,           0,               -32,               -32,       4.005716603,       4.005716603,               -32,               -32
         82,           0,           0,               -32,               -32,       4.005716603,       4.005716603,               -32,               -32
         83,           0,           0,               -32,               -32,       4.005716603,       4.005716603,               -32,               -32
         84,           0,           0,               -32,               -32,       4.005716602,       4.005716602,               -32,               -32
         85,           0,           0,               -32,               -32,       4.005716602,       4.005716602,               -32,               -32
         86,           0,           0,               -32,               -32,       4.005716602,       4.005716602,               -32,               -32
         87,           0,           0,               -32,               -32,       4.005716602,       4.005716602,               -32,               -32
         88,           0,           0,               -32,               -32,       4.005716601,       4.005716601,               -32,               -32
         89,           0,           0,               -32,               -32,       4.005716601,       4.005716601,               -32,               -32
         90,           0,           0,               -32,               -32,       4.005716601,       4.005716601,               -32,               -32
         91,           0,           0,               -32,               -32,       4.005716601,       4.005716601,               -32,               -32
         92,           0,           0,               -32,               -32,         4.0057166,         4.0057166,               -32,               -32
         93,           0,           0,               -32,               -32,         4.0057166,         4.0057166,               -32,               -32
         94,           0,           0,               -32,               -32,         4.0057166,         4.0057166,               -32,               -32
         95,           0,           0,               -32,               -32,       4.005716599,       4.005716599,               -32,               -32
         96,           0,           0,               -32,               -32,       4.005716599,       4.005716599,               -32,               -32
         97,           0,           0,               -32,               -32,       4.005716599,       4.005716599,               -32,               -32
         98,           0,           0,               -32,               -32,       4.005716599,       4.005716599,               -32,               -32
         99,           0,           0,               -32,               -32,       4.005716598,       4.005716598,               -32,               -32
        100,           0,           0,               -32,               -32,       4.005716598,       4.005716598,               -32,               -32
        101,           0,           0,               -32,               -32,       4.005716598,       4.005716598,               -32,               -32
        102,           0,           0,               -32,               -32,       4.005716598,       4.005716598,               -32,               -32
        103,           0,           0,               -32,               -32,       4.005716597,       4.005716597,               -32,               -32
        104,           0,           0,               -32,               -32,       4.005716597,       4.005716597,               -32,               -32
        105,           0,           0,               -32,               -32,       4.005716597,       4.005716597,               -32,               -32
        106,           0,           0,               -32,               -32,       4.005716596,       4.005716596,               -32,               -32
        107,           0,           0,               -32,               -32,       4.005716596,       4.005716596,               -32,               -32
        108,           0,           0,               -32,               -32,       4.005716596,       4.005716596,               -32,               -32
        109,           0,           0,               -32,               -32,       4.005716595,       4.005716595,               -32,               -32
        110,           0,           0,               -32,               -32,       4.005716595,       4.005716595,               -32,               -32
        111,           0,           0,               -32,               -32,       4.005716595,       4.005716595,               -32,               -32
        112,           0,           0,               -32,               -32,       4.005716594,       4.005716594,               -32,               -32
        113,           0,           0,               -32,               -32,       4.005716594,       4.005716594,               -32,               -32
        114,           0,           0,               -32,               -32,       4.005716594,       4.005716594,               -32,               -32
        115,           0,           0,               -32,               -32,       4.005716593,       4.005716593,               -32,               -32
        116,           0,           0,               -32,               -32,       4.005716593,       4.005716593,               -32,               -32
        117,           0,           0,               -32,               -32,       4.005716593,       4.005716593,               -32,               -32
        118,           0,           0,               -32,               -32,       4.005716592,       4.005716592,               -32,               -32
        119,           0,           0,               -32,               -32,       4.005716592,       4.005716592,               -32,               -32
        120,           0,           0,               -32,               -32,       4.005716592,       4.005716592,               -32,               -32
        121,           0,           0,               -32,               -32,       4.005716591,       4.005716591,               -32,               -32
        122,           0,           0,               -32,               -32,       4.005716591,       4.005716591,               -32,               -32
