"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Residual_1"	"Residual_2"	"Residual_3"	"Residual_4"	"Residual_5"	"Residual_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
0	5.010000078023450e+02	5.352202629500000e-08	9.997777728553726e-01	9.997751756562370e-01	7.067654313286360e-08	2.499262232386292e+01	1.080402193019317e-03	9.093756959637129e+02	5.811030234781356e-08	1.172325081455483e-08	-5.569368083394258e-10	1.150315437570271e-06	-2.656991914739917e-04	-1.560518705253843e+02	9.796661522165962e+00	1.000069517545571e+00	-2.992848280264582e-03	2.699899142453719e-01	1.619087792939580e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188491946929141e-06	
1	3.278693397908290e+02	5.352202629500000e-08	9.997377667337276e-01	9.997316207387030e-01	9.938239034316753e-08	2.499126233285096e+01	1.080372852412813e-03	9.093629606667407e+02	5.811030234781356e-08	1.172325081455483e-08	-5.569368083394258e-10	1.150315437570271e-06	-4.393686031818671e-04	-2.580554669815988e+02	9.796126975574660e+00	1.000054966807548e+00	-4.061941462868646e-03	2.699909199785711e-01	1.619069417215042e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188428763470127e-06	
2	2.146849004455700e+02	5.352202629500000e-08	9.997607594425036e-01	9.997869950535280e-01	3.222059273830741e-07	2.499189094682025e+01	1.080347846487842e-03	9.093472637388195e+02	6.135567098830563e-08	1.459525791336347e-07	1.079044683702105e-08	1.213979167857815e-06	-2.872391696110862e-04	-1.687051994941089e+02	9.796360869904207e+00	1.000055844300141e+00	-3.594152803774620e-03	2.699995464474784e-01	1.619070525379789e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188449100023757e-06	
3	1.406903998926780e+02	5.352202629500000e-08	9.997470083577008e-01	9.997847054157115e-01	5.906823295343247e-07	2.499146225952488e+01	1.080311606516772e-03	9.093293268646516e+02	6.135567098830563e-08	1.459525791336347e-07	1.079044683702105e-08	1.213979167857815e-06	-1.877768223206410e-04	-1.102888464058782e+02	9.796187580939302e+00	1.000051909285580e+00	-3.940730733585696e-03	2.700031730363949e-01	1.619065555938865e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188416347793875e-06	
4	9.231638184086459e+01	5.352202629500000e-08	9.997554348641978e-01	9.998098995286020e-01	8.776728618106441e-07	2.499171419692984e+01	1.080277610717626e-03	9.093056415750616e+02	5.557463089722603e-08	2.965497060136713e-07	1.007997436094923e-08	1.264172443171674e-06	-1.227597580683904e-04	-7.210156056997867e+01	9.796279973200681e+00	1.000052912141129e+00	-3.755946210826977e-03	2.700075658120914e-01	1.619066822423352e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188419952631877e-06	
5	6.069179345940150e+01	5.352202629500000e-08	9.997530660464873e-01	9.998579223656282e-01	1.295261874509661e-06	2.499166398093073e+01	1.080197214610344e-03	9.092650592203672e+02	5.557463089722603e-08	2.965497060136713e-07	1.007997436094923e-08	1.264172443171674e-06	-8.025077489140579e-05	-4.713539164109366e+01	9.796240235505962e+00	1.000051225038453e+00	-3.835421600264510e-03	2.700214023593249e-01	1.619064691817682e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188381762451159e-06	
6	4.001717037504760e+01	5.352202629500000e-08	9.997569291107192e-01	9.998843159249560e-01	1.959830313214035e-06	2.499178840210985e+01	1.080095903882641e-03	9.092108601955903e+02	5.482802567513545e-08	3.471308989144717e-07	8.709208276125927e-09	1.318898036117844e-06	-5.246242921566608e-05	-3.081447449425414e+01	9.796280256991704e+00	1.000051446422982e+00	-3.755378628781614e-03	2.700274569186338e-01	1.619064971399539e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188345795381628e-06	
7	2.650110387248250e+01	5.352202629500000e-08	9.997585348840508e-01	9.999583204384404e-01	2.999391968848634e-06	2.499186539097229e+01	1.079930566308376e-03	9.091246813482516e+02	5.482802567513545e-08	3.471308989144717e-07	8.709208276125927e-09	1.318898036117844e-06	-3.429516590385064e-05	-2.014444579872596e+01	9.796281832625848e+00	1.000050001027247e+00	-3.752227360493521e-03	2.700472038947724e-01	1.619063146039191e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188278519602527e-06	
8	1.766495469789320e+01	5.352202629500000e-08	9.997549948041743e-01	9.996958972552686e-01	4.471581155478990e-06	2.499170520938229e+01	1.079672694247273e-03	9.089912771097745e+02	2.882603677978324e-08	-3.602933519308849e-07	1.314262947945991e-08	7.207571286471648e-07	-2.241794919167308e-05	-1.316874206913704e+01	9.796322133291349e+00	1.000057656245621e+00	-3.671626029490227e-03	2.699762569576411e-01	1.619072813641624e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188165078238561e-06	
9	1.188830864330480e+01	5.352202629500000e-08	9.997614162065305e-01	9.998372335113965e-01	6.668624415945806e-06	2.499200140629875e+01	1.079295563553631e-03	9.087935382014823e+02	2.882603677978324e-08	-3.602933519308849e-07	1.314262947945991e-08	7.207571286471648e-07	-1.465369329859230e-05	-8.608599376383172e+00	9.796385509545223e+00	1.000057702664576e+00	-3.544873521743597e-03	2.700126854501221e-01	1.619072872262966e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.188016337180154e-06	
10	8.111817438747661e+00	5.352202629500000e-08	9.997686674453302e-01	9.998126901068810e-01	1.045793873552844e-05	2.499234975882347e+01	1.078763218030301e-03	9.084936948631180e+02	2.243136254520550e-08	-5.318678020227452e-07	3.077037275235190e-08	6.048497525057428e-07	-9.578124682484628e-06	-5.627400356018134e+00	9.796536328828772e+00	1.000065845507144e+00	-3.243234954645402e-03	2.700029997877708e-01	1.619083155635895e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.187831193511512e-06	
11	5.642930530440520e+00	5.352202629500000e-08	9.997881791375020e-01	1.000052086037704e+00	1.643419841411886e-05	2.499327384469310e+01	1.077837024709132e-03	9.080174038253792e+02	2.243136254520550e-08	-5.318678020227452e-07	3.077037275235190e-08	6.048497525057428e-07	-6.259052118145590e-06	-3.678324419134515e+00	9.796814455904657e+00	1.000074720059395e+00	-2.686980802874217e-03	2.700611806907202e-01	1.619094363019329e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.187457452841034e-06	
12	4.028891933275240e+00	5.352202629500000e-08	9.998270294212654e-01	1.000059231541110e+00	2.162615844389396e-05	2.499473328807876e+01	1.076468696229760e-03	9.072632212341153e+02	-2.393386744348192e-08	-3.319188019101915e-06	5.469424678610012e-08	-2.437140274480498e-06	-4.089022792266143e-06	-2.403899607306293e+00	9.797403679315394e+00	1.000096006695998e+00	-1.508533981400717e-03	2.700497425010557e-01	1.619121245026506e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.186982463681427e-06	
13	2.973711728635770e+00	5.352202629500000e-08	9.999125043975133e-01	1.000712771249999e+00	2.410213991289484e-05	2.499814453003791e+01	1.074403880401096e-03	9.061759780755633e+02	-2.393386744348192e-08	-3.319188019101915e-06	5.469424678610012e-08	-2.437140274480498e-06	-2.670205280213113e-06	-1.570886651575683e+00	9.798524527833145e+00	1.000124919843075e+00	7.331630541003165e-04	2.701992149408126e-01	1.619157757797830e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.186228891537596e-06	
14	2.283886053947150e+00	5.352202629500000e-08	1.000071664666267e+00	1.000502679221305e+00	4.507687866610271e-05	2.500305209659426e+01	1.071706663689376e-03	9.045684777720310e+02	-1.234044493259034e-07	-8.644797013790395e-06	1.069878412132366e-07	-8.712723484904927e-06	-1.742144405969942e-06	-1.026172961783642e+00	9.800604526321637e+00	1.000178020532338e+00	4.893160031084420e-03	2.700923259447413e-01	1.619224814327012e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.185541991763802e-06	
15	1.832911462718730e+00	5.352202629500000e-08	1.000363442532687e+00	1.001521404944744e+00	8.689022652342432e-05	2.501263508889301e+01	1.067307304153875e-03	9.020665377269676e+02	-1.234044493259034e-07	-8.644797013790395e-06	1.069878412132366e-07	-8.712723484904927e-06	-1.134249686735129e-06	-6.700631587900592e-01	9.804089995200432e+00	1.000241894462733e+00	1.186409778867414e-02	2.702798496567139e-01	1.619305473246967e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.184292488336698e-06	
16	1.538086133079550e+00	5.352202629500000e-08	1.000678371029296e+00	9.953609737212404e-01	8.855826927085887e-05	2.501991893475711e+01	1.061841415419522e-03	8.984449236447226e+02	-2.248208091693016e-06	-7.590280484215395e-05	5.786422392707916e-07	-9.242653348806584e-05	-7.337102388007997e-07	-4.362808770522998e-01	9.809527371387865e+00	1.000481665746461e+00	2.273885016354171e-02	2.685006210736496e-01	1.619608230385504e-07	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.183338125347619e-06	
