"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
1000, -2.999011673711572e-05, -3.799952083422699e-02, 5.152181431981605e-02, 1.497049419596963e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.631218554229343e+04, 6.972027201708069e-01, 9.971027571068450e-01, 2.897242893154899e-03, 4.523014046873893e+03, 2.940709014429772e+02, 3.026367011945695e+02, 0.000000000000000e+00, 1.036188780938658e-01, 1.792977761647573e-05, 1.123560202503383e-02, -1.795163378959863e-04, 1.251144206594463e+05, 2.085250385773613e-01
1100, -3.786251129390772e-05, -3.799939505338872e-02, 5.310184480669378e-02, 8.923190645798325e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.460944428465000e+04, 7.099350348917984e-01, 9.983224271443274e-01, 1.677572855672617e-03, 4.650447636342356e+03, 2.940761550918279e+02, 3.023104208055884e+02, 0.000000000000000e+00, 1.071670376348161e-01, 1.792782010860624e-05, 1.020179500829500e-02, -1.629987316666091e-04, 1.234217698953880e+05, 1.984496940825525e-01
1200, -4.753823678286890e-05, -3.799924045990968e-02, 5.461941321422516e-02, 6.371642129210455e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.407689493414389e+04, 7.223024936252991e-01, 9.988348066082392e-01, 1.165193391760812e-03, 4.778569532449834e+03, 2.940834534857403e+02, 3.020170514006168e+02, 0.000000000000000e+00, 1.107343618385411e-01, 1.792718911042104e-05, 9.271123619549387e-03, -1.481289704465353e-04, 1.216061332923068e+05, 1.890232659834159e-01
1300, -5.942998180860104e-05, -3.799905046007582e-02, 5.609348807526739e-02, 5.489611772955278e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.410027200929940e+04, 7.344903803522946e-01, 9.990223028049950e-01, 9.776971950049391e-04, 4.905844581770819e+03, 2.940924709436972e+02, 3.017513808328658e+02, 0.000000000000000e+00, 1.142781071136826e-01, 1.792719885121045e-05, 8.427980676232259e-03, -1.346576911000659e-04, 1.196334044296133e+05, 1.801829834530606e-01
1400, -7.404467328180184e-05, -3.799881695448468e-02, 5.752622468048384e-02, 5.290584849840307e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.434598795913433e+04, 7.465283009604986e-01, 9.990811627752564e-01, 9.188372247436613e-04, 5.030736516210037e+03, 2.941029571404439e+02, 3.015111753251404e+02, 0.000000000000000e+00, 1.177554988329037e-01, 1.792749249200189e-05, 7.663736032618601e-03, -1.224470058687426e-04, 1.175093326583293e+05, 1.719006165431626e-01
1500, -9.200489145222998e-05, -3.799852999588768e-02, 5.890882139344841e-02, 5.326653752831560e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.466044668029866e+04, 7.583525990075243e-01, 9.990965968235271e-01, 9.034031764728454e-04, 5.151692950764967e+03, 2.941147026098584e+02, 3.012961370404810e+02, 0.000000000000000e+00, 1.211233136225171e-01, 1.792791098917776e-05, 6.973554025500615e-03, -1.114196531649264e-04, 1.152578587478788e+05, 1.641720841835311e-01
1600, -1.140750980057410e-04, -3.799817737013179e-02, 6.022676544606890e-02, 5.427564879098532e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.498282444831364e+04, 7.698627165061709e-01, 9.990996232346820e-01, 9.003767653178997e-04, 5.267147635471369e+03, 2.941275323026576e+02, 3.011074573267251e+02, 0.000000000000000e+00, 1.243379420638655e-01, 1.792839266117358e-05, 6.354826366996672e-03, -1.015339591723322e-04, 1.129149834110833e+05, 1.570148320948261e-01
1700, -1.411937316667219e-04, -3.799774408335353e-02, 6.146588379349191e-02, 5.539167678902045e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.529168635451733e+04, 7.809863445934411e-01, 9.990996338036623e-01, 9.003661963376962e-04, 5.375766654889047e+03, 2.941413049943833e+02, 3.009467742871493e+02, 0.000000000000000e+00, 1.273622436760466e-01, 1.792891547787249e-05, 5.805069971848865e-03, -9.275025051522576e-05, 1.105257307604405e+05, 1.504535461178097e-01
1800, -1.745124427043453e-04, -3.799721173511129e-02, 6.260848442787446e-02, 5.646274110348730e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.557802292565243e+04, 7.916140978724656e-01, 9.990989740891150e-01, 9.010259108849766e-04, 5.475976928545229e+03, 2.941559125299520e+02, 3.008160238619894e+02, 0.000000000000000e+00, 1.301524188571548e-01, 1.792947116903730e-05, 5.322534636559182e-03, -8.504056339013351e-05, 1.081365715148349e+05, 1.445222789744316e-01
1900, -2.154439919773765e-04, -3.799655775308049e-02, 6.364271621833180e-02, 5.744988592078466e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.583792427828102e+04, 8.017276532998133e-01, 9.990981203121706e-01, 9.018796878294066e-04, 5.566735354846942e+03, 2.941712935969011e+02, 3.007177376653999e+02, 0.000000000000000e+00, 1.326794243158197e-01, 1.793005656058449e-05, 4.905386446896130e-03, -7.837559651118990e-05, 1.058019522977195e+05, 1.392649955517096e-01
2000, -2.657206340309966e-04, -3.799575446024023e-02, 6.455707297732924e-02, 5.833823897824339e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.606837219320248e+04, 8.113071729014157e-01, 9.990971466732147e-01, 9.028533267852999e-04, 5.647033497732967e+03, 2.941874276025565e+02, 3.006541867041960e+02, 0.000000000000000e+00, 1.349151819601741e-01, 1.793067073783898e-05, 4.551240820815287e-03, -7.271725032366996e-05, 1.035747379866514e+05, 1.347190963031396e-01
2100, -3.274651371623222e-04, -3.799476794015327e-02, 6.534576102417006e-02, 5.912216458947353e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.626790955300260e+04, 8.204033169584560e-01, 9.990960588612497e-01, 9.039411387502371e-04, 5.716363839600862e+03, 2.942043395432590e+02, 3.006277164444327e+02, 0.000000000000000e+00, 1.368455608736301e-01, 1.793131463826661e-05, 4.258138008856122e-03, -6.803421301872762e-05, 1.015072747766097e+05, 1.309317422809631e-01
2200, -4.032769617303314e-04, -3.799355666005590e-02, 6.601133253416100e-02, 5.980392292176300e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.643717053527365e+04, 8.291672131438016e-01, 9.990948555431521e-01, 9.051444568477993e-04, 5.774949772528134e+03, 2.942221045314822e+02, 3.006408212706447e+02, 0.000000000000000e+00, 1.384767810075715e-01, 1.793199111401424e-05, 4.023548895981352e-03, -6.428607577107859e-05, 9.965148568534256e+04, 1.279436581368141e-01
2300, -4.963365092175531e-04, -3.799206980522310e-02, 6.655879528494363e-02, 6.038772138630479e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.657739311290955e+04, 8.377637128082195e-01, 9.990935385475896e-01, 9.064614524102907e-04, 5.823230166823349e+03, 2.942408358904931e+02, 3.006955488119274e+02, 0.000000000000000e+00, 1.398210619179182e-01, 1.793270446174504e-05, 3.845032979583982e-03, -6.143384555727454e-05, 9.805218719253858e+04, 1.257883723006127e-01
2400, -6.105307444618484e-04, -3.799024527184490e-02, 6.699038249809865e-02, 6.087455126945589e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.668910503776135e+04, 8.463573896284990e-01, 9.990921191645277e-01, 9.078808354724138e-04, 5.861402805816274e+03, 2.942607378213699e+02, 3.007952497340739e+02, 0.000000000000000e+00, 1.408839105264439e-01, 1.793346241036657e-05, 3.725737126320298e-03, -5.952780130119190e-05, 9.676765981057983e+04, 1.245762333839623e-01
2500, -7.506038389557143e-04, -3.798800726012964e-02, 6.734874708792106e-02, 6.130083089951996e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.678286667238672e+04, 8.556537700875566e-01, 9.990906276913890e-01, 9.093723086110588e-04, 5.893204638639025e+03, 2.942821463691209e+02, 3.009442426729947e+02, 0.000000000000000e+00, 1.417693754734835e-01, 1.793427765858184e-05, 3.655714307355479e-03, -5.840901478676083e-05, 9.587905125282986e+04, 1.242215792550226e-01
2600, -9.223367123534304e-04, -3.798526340568744e-02, 6.728629053505729e-02, 6.134219836502774e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.677186471276113e+04, 8.624183691607180e-01, 9.990891706823931e-01, 9.108293176069679e-04, 5.888248418758354e+03, 2.943067248919394e+02, 3.011792732635513e+02, 0.000000000000000e+00, 1.416313784278851e-01, 1.793521314700010e-05, 3.800473600610974e-03, -6.072190003672348e-05, 9.584053596126757e+04, 1.272221376085228e-01
2700, -1.132759348109118e-03, -3.798190138726643e-02, 6.916951065892175e-02, 6.313325030004852e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.724503484040777e+04, 8.961437209546389e-01, 9.990880999665009e-01, 9.119000334990695e-04, 6.053556762077743e+03, 2.943307478419986e+02, 3.014669465366751e+02, 0.000000000000000e+00, 1.462340925003200e-01, 1.793612684041498e-05, 3.923250625691555e-03, -1.110090408653949e-04, 9.718545804282186e+04, 1.318200887242774e-01
2800, -1.390215346017262e-03, -3.797202470051161e-02, 7.213860924342112e-02, 6.592667134336166e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.798929805757333e+04, 9.434254271371241e-01, 9.990869455705499e-01, 9.130544294500601e-04, 6.313895126819289e+03, 2.943528968064210e+02, 3.017184326192364e+02, 0.000000000000000e+00, 1.534827469295490e-01, 1.793696953695934e-05, 3.730169840061324e-03, -1.627264828747405e-04, 9.838158683400157e+04, 1.321220839602206e-01
2900, -1.705063974110698e-03, -3.795693493187290e-02, 7.306702229079684e-02, 6.690469040529646e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.822661011915279e+04, 9.651717096625184e-01, 9.990851757430926e-01, 9.148242569073749e-04, 6.395735440891223e+03, 2.943786167417294e+02, 3.019868209492415e+02, 0.000000000000000e+00, 1.557614435622023e-01, 1.793794883853902e-05, 3.588292497007921e-03, -1.719763046635273e-04, 9.877383418750891e+04, 1.312806801547816e-01
3000, -2.089794480114556e-03, -3.793849593037872e-02, 7.376200050981245e-02, 6.766281100707706e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.840563964306581e+04, 9.862224574975252e-01, 9.990835281110106e-01, 9.164718889893210e-04, 6.457203129569803e+03, 2.944065777228456e+02, 3.023124684346840e+02, 0.000000000000000e+00, 1.574729010119593e-01, 1.793901295073247e-05, 3.718047475773644e-03, -1.974194188050381e-04, 9.961806215362600e+04, 1.351578609119931e-01
3100, -2.559006244804559e-03, -3.791159264190164e-02, 7.728609772892707e-02, 7.095447497241166e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.928851117933638e+04, 1.046132762242941e+00, 9.990827665616655e-01, 9.172334383345974e-04, 6.766318359841125e+03, 2.944327624318398e+02, 3.026440354296938e+02, 0.000000000000000e+00, 1.660796597018390e-01, 1.794000804759526e-05, 3.748912781445788e-03, -2.615057283244915e-04, 1.015574219658209e+05, 1.398520260228890e-01
3200, -3.129834958437216e-03, -3.786594781879907e-02, 8.036471259160646e-02, 7.383400441066962e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.006052972651614e+04, 1.103927868753061e+00, 9.990821066822417e-01, 9.178933177582483e-04, 7.036603642870497e+03, 2.944639987505021e+02, 3.030414988519624e+02, 0.000000000000000e+00, 1.736052682149420e-01, 1.794119464532627e-05, 3.724850787306499e-03, -3.162350455627859e-04, 1.043862461467475e+05, 1.430195563934358e-01
3300, -3.823309509213071e-03, -3.780425491933088e-02, 8.361749558303540e-02, 7.683645074700149e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.087504062677088e+04, 1.166934068976924e+00, 9.990819396143099e-01, 9.180603856900034e-04, 7.322240453533742e+03, 2.944972189454936e+02, 3.034702351549640e+02, 0.000000000000000e+00, 1.815583124572706e-01, 1.794245561478896e-05, 3.812951719311488e-03, -3.876771953949019e-04, 1.077782575137272e+05, 1.483688654214884e-01
3400, -4.662608537554991e-03, -3.771010494270959e-02, 8.945502516201086e-02, 8.208782095878181e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.233074858099901e+04, 1.268121931365242e+00, 9.990831978134654e-01, 9.168021865345969e-04, 7.834272589428772e+03, 2.945299044668366e+02, 3.038959930883721e+02, 0.000000000000000e+00, 1.958149281252986e-01, 1.794369371644790e-05, 3.876920214251234e-03, -4.919199941563402e-04, 1.122344906289577e+05, 1.554163122984207e-01
3500, -5.674211760704912e-03, -3.756940463239670e-02, 9.613505425993024e-02, 8.796915354281573e-05, 0.000000000000000e+00, 0.000000000000000e+00, 2.399284271158113e+04, 1.389894750909202e+00, 9.990857785338463e-01, 9.142214661537894e-04, 8.420428587272832e+03, 2.945710908627648e+02, 3.044320996152237e+02, 0.000000000000000e+00, 2.121353896685277e-01, 1.794525199365590e-05, 3.961621942672740e-03, -6.126215568692150e-04, 1.189217822826450e+05, 1.633271077311344e-01
