"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
10, -3.795868312957994e-05, 3.799939767308996e-02, 5.095037971018444e-02, 1.219866277478692e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.525181765089865e+04, 1.035129685000650e+00, 9.976114945029037e-01, 2.388505497096337e-03, 4.469332402282692e+03, 2.941388447544567e+02, 3.140111691318452e+02, 0.000000000000000e+00, 1.021242090648865e-01, 1.793145927139593e-05, inf, inf, -1.157086404849747e+11, 2.323967711168584e-01
11, -4.735796230470913e-05, 3.799924852569297e-02, 5.247166089261394e-02, 7.596238777019616e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.402452134892043e+04, 1.052243234068545e+00, 9.985544086862906e-01, 1.445591313709381e-03, 4.593758039317255e+03, 2.941165509420341e+02, 3.136333629488945e+02, 0.000000000000000e+00, 1.055886175699319e-01, 1.792894293548640e-05, inf, inf, -8.540279267329591e+10, 2.245867714860365e-01
12, -5.873027906299261e-05, 3.799906807021221e-02, 5.392156473680928e-02, 5.847468577865910e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.374805592491380e+04, 1.067613497265891e+00, 9.989167350301306e-01, 1.083264969869407e-03, 4.716978914750522e+03, 2.940981691177173e+02, 3.132642312673852e+02, 0.000000000000000e+00, 1.090194816508734e-01, 1.792760248404338e-05, inf, inf, -7.138093157401367e+10, 2.169103474547220e-01
13, -7.251451309323280e-05, 3.799884934252183e-02, 5.532200335144847e-02, 5.322707324630371e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.387535644882236e+04, 1.081461650338615e+00, 9.990387927447330e-01, 9.612072552670935e-04, 4.838054856637963e+03, 2.940829052428282e+02, 3.128960675559938e+02, 0.000000000000000e+00, 1.123906239076314e-01, 1.792680643552891e-05, inf, inf, -6.312816974145351e+10, 2.093672440033197e-01
14, -8.923357362332173e-05, 3.799858404511851e-02, 5.670015822361459e-02, 5.253260298305232e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.415205122162897e+04, 1.094265367802697e+00, 9.990743592556067e-01, 9.256407443932589e-04, 4.958012673925857e+03, 2.940702866723713e+02, 3.125263029709458e+02, 0.000000000000000e+00, 1.157306339920758e-01, 1.792626426976827e-05, inf, inf, -5.997014318250463e+10, 2.020290251085057e-01
15, -1.095468800447199e-04, 3.799826171436092e-02, 5.800839083491308e-02, 5.324560088919148e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.446121386040183e+04, 1.105143621581600e+00, 9.990829469481443e-01, 9.170530518557499e-04, 5.072140338829227e+03, 2.940598189067205e+02, 3.121551236603409e+02, 0.000000000000000e+00, 1.189083139491604e-01, 1.792585162762282e-05, inf, inf, -5.491333175579735e+10, 1.948361720038451e-01
16, -1.342436901053287e-04, 3.799786982633782e-02, 5.926740368391894e-02, 5.430440911693776e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.477140675816169e+04, 1.114624937940919e+00, 9.990845777901106e-01, 9.154222098893487e-04, 5.182057140052221e+03, 2.940511983845610e+02, 3.117844655644149e+02, 0.000000000000000e+00, 1.219687499660445e-01, 1.792552145674772e-05, inf, inf, -5.137347243392104e+10, 1.878697982022444e-01
17, -1.643622858132862e-04, 3.799739190563057e-02, 6.045867337072770e-02, 5.538796328066776e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.506771059087377e+04, 1.122521282354363e+00, 9.990847092054366e-01, 9.152907945634812e-04, 5.286088108044864e+03, 2.940441593071820e+02, 3.114172325935215e+02, 0.000000000000000e+00, 1.248653055223702e-01, 1.792525398363852e-05, inf, inf, -4.807733910833395e+10, 1.811838092368827e-01
18, -2.010246256901555e-04, 3.799681014904494e-02, 6.157287603334820e-02, 5.641670553462860e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.534539044340005e+04, 1.128891621915192e+00, 9.990845797018366e-01, 9.154202981634166e-04, 5.383402953687296e+03, 2.940384395169062e+02, 3.110576689243317e+02, 0.000000000000000e+00, 1.275748627080583e-01, 1.792503705904853e-05, inf, inf, -4.504192571278604e+10, 1.748432481654702e-01
19, -2.457240298199572e-04, 3.799610086063579e-02, 6.259712466058370e-02, 5.736530760569265e-05, 0.000000000000000e+00, 0.000000000000000e+00, 1.560077277080818e+04, 1.133740323603502e+00, 9.990844182494372e-01, 9.155817505627746e-04, 5.472870899623693e+03, 2.940338558510927e+02, 3.107100187335163e+02, 0.000000000000000e+00, 1.300659370575101e-01, 1.792486332369244e-05, inf, inf, -4.214183713520959e+10, 1.689278921921421e-01
