"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
11, 8.896570909947472e-01, 4.566292373937131e-01, 1.225385907557974e-04, 5.710133316846071e-06, 0.000000000000000e+00, 0.000000000000000e+00, 2.459418281221927e+02, 2.907779246310459e+00, 9.554761003812272e-01, 4.452389961877283e-02, 2.119209557212046e+01, 5.330086462442130e+02, 9.000698683783412e+02, 0.000000000000000e+00, -3.657310804419073e-03, 2.640548060747657e-05, 3.899611091188862e-05, -7.597666498973292e-05, 5.775877029976606e+03, 3.463903026872668e+00
12, 8.709226732488212e-01, 4.914200822322252e-01, 2.356515726090307e-05, 1.207229606263007e-06, 0.000000000000000e+00, 0.000000000000000e+00, 5.130026480003000e+01, 6.054757842513248e-01, 9.512671260651473e-01, 4.873287393485278e-02, 4.209226299343631e+00, 5.458852057010325e+02, 9.189822174608707e+02, 0.000000000000000e+00, -5.813372917054150e-03, 2.684390981861730e-05, 1.658761473138260e-04, -2.939751607027422e-04, 5.214650539075789e+03, 2.977201025765455e+00
13, 8.508284131333600e-01, 5.254436329474061e-01, 1.607133588086622e-05, 8.339582089377330e-07, 0.000000000000000e+00, 0.000000000000000e+00, 3.573505645585748e+01, 3.964324460286289e-01, 9.506688138929972e-01, 4.933118610700279e-02, 3.041438632002389e+00, 5.776643045396104e+02, 9.091905295848846e+02, 0.000000000000000e+00, -5.961629534043658e-03, 2.787289689319379e-05, 2.646994302829684e-04, -4.286164720688601e-04, 4.302671225848812e+03, 2.893657846479698e+00
14, 8.294056854502019e-01, 5.586467658036525e-01, 1.678479055118285e-05, 8.714321083948893e-07, 0.000000000000000e+00, 0.000000000000000e+00, 3.781939871598274e+01, 4.447735609812377e-01, 9.506444767266132e-01, 4.935552327338685e-02, 3.364395661385827e+00, 6.118125751247567e+02, 9.265228535979986e+02, 0.000000000000000e+00, -5.920628487407859e-03, 2.895975625796190e-05, 3.194696242008979e-04, -4.743067334502284e-04, 4.606026465142489e+03, 3.032526619235011e+00
15, 8.066879392455930e-01, 5.909776380504583e-01, 1.727520535500465e-05, 8.970002770163959e-07, 0.000000000000000e+00, 0.000000000000000e+00, 3.942507143011392e+01, 4.887867800173761e-01, 9.506388880260193e-01, 4.936111197398082e-02, 3.656426450257921e+00, 6.460349570088204e+02, 9.429479662328959e+02, 0.000000000000000e+00, -5.883553685176452e-03, 3.003345647863189e-05, 3.777130678273159e-04, -5.155805510964725e-04, 4.935259413511794e+03, 3.136161868132568e+00
16, 7.827106455834733e-01, 6.223857688687158e-01, 1.823322284449064e-05, 9.462860913903848e-07, 0.000000000000000e+00, 0.000000000000000e+00, 4.210339465242647e+01, 5.448668236340490e-01, 9.506616100258921e-01, 4.933838997410787e-02, 4.057965863063210e+00, 6.793399089803663e+02, 9.570660337805748e+02, 0.000000000000000e+00, -5.832576203057632e-03, 3.106448314086531e-05, 4.397799784593502e-04, -5.530661015599358e-04, 5.233576558545102e+03, 3.275269146322982e+00
17, 7.575112421616201e-01, 6.528221181905216e-01, 1.997434036940302e-05, 1.035389491464714e-06, 0.000000000000000e+00, 0.000000000000000e+00, 4.660778589560983e+01, 6.243202536419526e-01, 9.507185719035252e-01, 4.928142809647484e-02, 4.652564475332646e+00, 7.110689756923155e+02, 9.689747467637062e+02, 0.000000000000000e+00, -5.757088868170439e-03, 3.203476636521470e-05, 5.042980683141174e-04, -5.851692911496083e-04, 5.503171264257593e+03, 3.475676759019010e+00
18, 7.311290748571273e-01, 6.822391632694220e-01, 2.284126631851180e-05, 1.181569214746800e-06, 0.000000000000000e+00, 0.000000000000000e+00, 5.377719980438672e+01, 7.407797080368904e-01, 9.508147481961083e-01, 4.918525180389165e-02, 5.542127402388097e+00, 7.408526601844710e+02, 9.789737291634083e+02, 0.000000000000000e+00, -5.644154304933621e-03, 3.293549414896798e-05, 5.698601560647341e-04, -6.106968804090932e-04, 5.754782979058977e+03, 3.758964792739086e+00
19, 7.036053362924896e-01, 7.105909728815394e-01, 2.724926983481860e-05, 1.405307550509478e-06, 0.000000000000000e+00, 0.000000000000000e+00, 6.463168765126913e+01, 9.113048247219825e-01, 9.509569611998873e-01, 4.904303880011276e-02, 6.857283501896469e+00, 7.685932672499714e+02, 9.874430209398270e+02, 0.000000000000000e+00, -5.477188511768372e-03, 3.376601247150152e-05, 6.352176268083501e-04, -6.289729661453422e-04, 6.003462304314873e+03, 4.142601319724049e+00
20, 6.749830015182106e-01, 7.378332790417272e-01, 3.370041710290499e-05, 1.730633623308486e-06, 0.000000000000000e+00, 0.000000000000000e+00, 8.039534685318037e+01, 1.156929908950004e+00, 9.511548884993105e-01, 4.884511150068958e-02, 8.762094095645136e+00, 7.944092772902468e+02, 9.947671296074986e+02, 0.000000000000000e+00, -5.235363064786295e-03, 3.453178850357726e-05, 6.993679794693611e-04, -6.397942615993871e-04, 6.265101005330761e+03, 4.638218249726314e+00
21, 6.453067609123651e-01, 7.639235461227725e-01, 4.279479783139831e-05, 2.185073409031242e-06, 0.000000000000000e+00, 0.000000000000000e+00, 1.025071505924876e+02, 1.503302910217246e+00, 9.514210835030755e-01, 4.857891649692449e-02, 1.145884794280676e+01, 8.185654538230390e+02, 1.001287078484893e+03, 0.000000000000000e+00, -4.892996371409672e-03, 3.524215579873734e-05, 7.615770723573001e-04, -6.433246314272250e-04, 6.553648956933274e+03, 5.251496785041391e+00
22, 6.146229504018774e-01, 7.888210372697291e-01, 5.523873296272523e-05, 2.799172288783658e-06, 0.000000000000000e+00, 0.000000000000000e+00, 1.326178711069807e+02, 1.981341330776127e+00, 9.517699290376976e-01, 4.823007096230242e-02, 1.519297087907125e+01, 8.414070501218722e+02, 1.007273601368070e+03, 0.000000000000000e+00, -4.418930366573428e-03, 3.590833436779166e-05, 8.213553311249421e-04, -6.399725832511028e-04, 6.879468574608298e+03, 5.983308373266316e+00
23, 5.829794791144721e-01, 8.124868780056813e-01, 7.184968057689581e-05, 3.605566849444256e-06, 0.000000000000000e+00, 0.000000000000000e+00, 1.725719691483986e+02, 2.627827540858475e+00, 9.522158236514426e-01, 4.778417634855727e-02, 2.025792811064808e+01, 8.633075267533314e+02, 1.012922079302371e+03, 0.000000000000000e+00, -3.775908141428885e-03, 3.654193989798469e-05, 8.784100585067684e-04, -6.302809955702583e-04, 7.248840456529946e+03, 6.831217003280084e+00
