"PointID","x","y","Density_0","Density_1","Momentum_x","Momentum_y","Energy","Energy_ve","MassFrac_0","MassFrac_1","Pressure","Temperature_tr","Temperature_ve","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
831, -5.232709290355284e-02, 1.058474565594950e+00, 1.348056358518955e-03, 9.369686423757280e-05, 3.575174231553583e+00, 5.193084625357586e-01, 1.275325371429679e+04, 1.315190604882499e+03, 9.350118572591561e-01, 6.498814274084379e-02, 1.582691888063560e+03, 3.472901435501632e+03, 4.754457877515233e+03, 2.006606974355951e+00, 1.945830741036283e-01, 1.002388886267997e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
832, -9.410297788018614e-02, 1.055580958627635e+00, 1.461313141996972e-03, 1.014754652105747e-04, 3.790338990398927e+00, 6.865115403129399e-01, 1.380997456312967e+04, 1.434467760886155e+03, 9.350676958210650e-01, 6.493230417893509e-02, 1.773996289995234e+03, 3.591387395217311e+03, 4.774808914068853e+03, 1.941057015868082e+00, 2.188701463503873e-01, 1.028214663298325e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
833, -1.357319322275552e-01, 1.051039187298423e+00, 1.580950437603807e-03, 1.095780004782181e-04, 4.000710754070659e+00, 8.698717494182767e-01, 1.491621609120760e+04, 1.562198423072848e+03, 9.351812143411566e-01, 6.481878565884344e-02, 1.982323257290473e+03, 3.710291878419996e+03, 4.796860031908727e+03, 1.876515308516444e+00, 2.453183203315317e-01, 1.053963876717184e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
834, -1.771489572751011e-01, 1.044856343044105e+00, 1.707045673561271e-03, 1.179944248614142e-04, 4.204083567464652e+00, 1.068965541870714e+00, 1.607140857018096e+04, 1.698986186797072e+03, 9.353469411639819e-01, 6.465305883601817e-02, 2.208314805235529e+03, 3.829237044803092e+03, 4.821045286519802e+03, 1.813006785855266e+00, 2.740091031712219e-01, 1.079560755835254e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
835, -2.182893852547085e-01, 1.037042079642035e+00, 1.839629061147223e-03, 1.267143661116464e-04, 4.398154364208740e+00, 1.283086156466264e+00, 1.727471567598172e+04, 1.845467889449596e+03, 9.355583748214883e-01, 6.444162517851183e-02, 2.452503827814332e+03, 3.947846502397730e+03, 4.847777635826787e+03, 1.750545397828698e+00, 3.050101484861909e-01, 1.104931737282973e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
836, -2.590889802717499e-01, 1.027608598136907e+00, 1.978674587757648e-03, 1.357272974532153e-04, 4.580548602921352e+00, 1.511219559409186e+00, 1.852499254907539e+04, 2.002295168985317e+03, 9.358081836747514e-01, 6.419181632524867e-02, 2.715290454750571e+03, 4.065749576192447e+03, 4.877427470337716e+03, 1.689135285682766e+00, 3.383722547913143e-01, 1.130006205003608e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
837, -2.994840386018101e-01, 1.016570627790271e+00, 2.124091288834690e-03, 1.450226307923068e-04, 4.748853309923611e+00, 1.752024288194929e+00, 1.982073851212411e+04, 2.170109073809148e+03, 9.360884310223851e-01, 6.391156897761484e-02, 2.996917212556606e+03, 4.182584265839508e+03, 4.910301017637539e+03, 1.628772435586978e+00, 3.741262120677318e-01, 1.154716911531230e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
838, -3.394114881564883e-01, 1.003945403082535e+00, 2.275714979140854e-03, 1.545897085750269e-04, 4.900657927749151e+00, 2.003817718033799e+00, 2.116004481310617e+04, 2.349507806840400e+03, 9.363908116721291e-01, 6.360918832787087e-02, 3.297442752308772e+03, 4.297998346093056e+03, 4.946620417560916e+03, 1.569446934995457e+00, 4.122794663695538e-01, 1.178999981658455e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
839, -3.788089869629784e-01, 9.897526368033769e-01, 2.433300372123140e-03, 1.644176637834537e-04, 5.033602499129532e+00, 2.264571888584829e+00, 2.254053648434618e+04, 2.541008165287540e+03, 9.367068860011697e-01, 6.329311399883034e-02, 3.616713404232410e+03, 4.411648163462921e+03, 4.986507301602978e+03, 1.511145937652911e+00, 4.528125085329470e-01, 1.202794423926479e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
840, -4.176150205036588e-01, 9.740144892725590e-01, 2.596513183577520e-03, 1.744951029466887e-04, 5.145431550607765e+00, 2.531922814834462e+00, 2.395930557469873e+04, 2.745001832465040e+03, 9.370282998447597e-01, 6.297170015524033e-02, 3.954331123806523e+03, 4.523194789742165e+03, 5.029971777605533e+03, 1.453857441196849e+00, 4.956748047701821e-01, 1.226041098624053e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
841, -4.557689977637087e-01, 9.567555337392200e-01, 2.764921490543825e-03, 1.848095471879337e-04, 5.234050593220263e+00, 2.803198297468826e+00, 2.541283125865968e+04, 2.961708411110115e+03, 9.373469835642894e-01, 6.265301643571063e-02, 4.309615701749596e+03, 4.632297382088909e+03, 5.076908609067323e+03, 1.397574970460584e+00, 5.407799990340578e-01, 1.248681128490833e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
842, -4.932113458367866e-01, 9.380027180136639e-01, 2.937985550392563e-03, 1.953465503079467e-04, 5.297580603765742e+00, 3.075470626951755e+00, 2.689688266095565e+04, 3.191128475888117e+03, 9.376553317587135e-01, 6.234466824128654e-02, 4.681558912060224e+03, 4.738603893576762e+03, 5.127102820528671e+03, 1.342303202343037e+00, 5.880000918771492e-01, 1.270653794151272e-04, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
